blockNumber,btc_total_amount,day
6783166,0.08,2018-11-27
7130544,0.19150546,2019-01-26
7141151,3.24150546,2019-01-28
7144751,65.42148386,2019-01-29
7150158,72.42148386,2019-01-30
7241568,79.42148386,2019-02-19
7304320,73.42148386,2019-03-04
7454199,81.42148386,2019-03-28
7484981,88.42148386,2019-04-01
7489893,82.42148386,2019-04-02
7498237,89.92148386,2019-04-03
7504017,93.87148386,2019-04-04
7528952,143.87148386,2019-04-08
7548064,150.87148386,2019-04-11
7613045,155.65739236,2019-04-21
7658592,150.65739236,2019-04-28
7694857,195.65739236,2019-05-04
7710004,201.90739236,2019-05-06
7735618,219.80739236,2019-05-10
7772184,213.80739236,2019-05-16
7798275,258.80739236,2019-05-20
7971911,318.80739236,2019-06-16
8036525,318.90819236,2019-06-26
8041418,323.80739236,2019-06-27
8073644,528.59124259,2019-07-02
8075875,528.59044259,2019-07-03
8081961,539.58844257,2019-07-04
8118820,549.56844257,2019-07-09
8125854,558.73108057,2019-07-10
8272709,563.22208057,2019-08-02
8363940,563.22307089,2019-08-16
8428375,569.21107089,2019-08-26
8626482,569.249656452167,2019-09-26
8633863,568.635441327358,2019-09-27
8640287,599.998252267376,2019-09-28
8645588,573.374962749805,2019-09-29
8652497,580.331462019741,2019-09-30
8658801,580.318884393747,2019-10-01
8664455,575.315126630983,2019-10-02
8669335,575.903182114953,2019-10-03
8678510,578.431011073375,2019-10-04
8683385,578.442283627088,2019-10-05
8691232,578.508361144616,2019-10-06
8697762,578.560441526637,2019-10-07
8704320,578.531852146424,2019-10-08
8708971,578.843688802697,2019-10-09
8716434,553.197111898449,2019-10-10
8720472,553.150247828615,2019-10-11
8728173,553.221554327087,2019-10-12
8735827,552.579954472133,2019-10-13
8742448,582.067742790373,2019-10-14
8748914,551.975742899168,2019-10-15
8755043,560.933618634507,2019-10-16
8761037,580.398398420063,2019-10-17
8767639,580.115217622489,2019-10-18
8773084,580.193876905641,2019-10-19
8780096,580.341789378493,2019-10-20
8786461,579.3704552375,2019-10-21
8792891,580.822769144903,2019-10-22
8799721,629.831346871303,2019-10-23
8805979,631.169186865601,2019-10-24
8811871,609.52740483345,2019-10-25
8818102,620.469306593201,2019-10-26
8824252,610.457003847721,2019-10-27
8830789,611.29333708623,2019-10-28
8836959,616.247075081777,2019-10-29
8842831,641.020061539948,2019-10-30
8848871,684.625319945975,2019-10-31
8855420,685.752213209264,2019-11-01
8861550,684.860575680198,2019-11-02
8867679,684.953043212926,2019-11-03
8873523,699.566911046782,2019-11-04
8880489,709.923087349645,2019-11-05
8886581,670.527892660638,2019-11-06
8892411,685.758221020508,2019-11-07
8899061,686.020044046045,2019-11-08
8904842,687.671885455557,2019-11-09
8910071,690.666581615518,2019-11-10
8917233,694.217185439661,2019-11-11
8923050,713.829878881333,2019-11-12
8928470,729.007661288661,2019-11-13
8935279,737.440118434896,2019-11-14
8941073,739.622746077729,2019-11-15
8946696,742.960731318397,2019-11-16
8953350,753.251685876492,2019-11-17
8958921,757.65553249505,2019-11-18
8964755,774.987276434329,2019-11-19
8971114,774.86489678154,2019-11-20
8977304,816.826327019284,2019-11-21
8983220,824.616105016764,2019-11-22
8989244,825.341058833434,2019-11-23
8995260,855.080076464955,2019-11-24
9001174,857.485460556958,2019-11-25
9006549,857.684871257833,2019-11-26
9012555,872.715269480446,2019-11-27
9018107,885.506194924268,2019-11-28
9023621,879.806508098933,2019-11-29
9028659,878.832534754151,2019-11-30
9034982,909.270150831291,2019-12-01
9040472,918.183517606333,2019-12-02
9046085,919.542757344219,2019-12-03
9051960,920.393349625028,2019-12-04
9057492,934.047323679748,2019-12-05
9063156,984.501848030604,2019-12-06
9068496,984.238646364507,2019-12-07
9074456,987.710219224172,2019-12-08
9079785,988.046968220117,2019-12-09
9084428,984.289862612168,2019-12-10
9091089,966.906261548928,2019-12-11
9096765,957.639004409712,2019-12-12
9102471,956.789724665642,2019-12-13
9107685,928.401747732764,2019-12-14
9112827,918.255531538514,2019-12-15
9117663,922.584577954683,2019-12-16
9122782,930.632581277471,2019-12-17
9127963,921.929885600546,2019-12-18
9132586,927.140794650017,2019-12-19
9137972,926.329821363733,2019-12-20
9142653,930.317329629196,2019-12-21
9147393,929.977331377456,2019-12-22
9152515,930.085927895739,2019-12-23
9156183,928.924028387327,2019-12-24
9162567,936.908406614646,2019-12-25
9167319,940.513745148392,2019-12-26
9172527,946.087651010705,2019-12-27
9177713,1006.23513350533,2019-12-28
9182751,1037.9729847343,2019-12-29
9187792,1040.14057132546,2019-12-30
9192899,1040.30097530667,2019-12-31
9198172,1039.93823104559,2020-01-01
9203554,1028.10977815345,2020-01-02
9210378,1042.93799332062,2020-01-03
9215589,1043.53273830618,2020-01-04
9222981,1045.94660595638,2020-01-05
9229861,1049.2232070183,2020-01-06
9236576,1090.6447576858,2020-01-07
9242966,1065.83951229712,2020-01-08
9248954,1072.63674703868,2020-01-09
9256115,1078.70359889941,2020-01-10
9262669,1137.94527812183,2020-01-11
9269165,1139.00945871217,2020-01-12
9275718,1116.42010938613,2020-01-13
9282294,1128.24300896016,2020-01-14
9288597,1133.59712271961,2020-01-15
9294627,1148.19069054939,2020-01-16
9301824,1148.20739649431,2020-01-17
9308069,1164.02396458495,2020-01-18
9314505,1164.40875247068,2020-01-19
9321012,1159.40931623901,2020-01-20
9327754,1131.66511865949,2020-01-21
9334165,1127.03728877072,2020-01-22
9341019,1128.78246550101,2020-01-23
9347380,1129.99733054916,2020-01-24
9353907,1130.77273405964,2020-01-25
9360091,1085.58553886166,2020-01-26
9367091,1083.92196822443,2020-01-27
9373622,1087.94171262232,2020-01-28
9380063,1145.43713131788,2020-01-29
9386603,1198.42450780617,2020-01-30
9392613,1140.43651432624,2020-01-31
9397784,1147.48094991596,2020-02-01
9406125,1147.34963366752,2020-02-02
9412699,1194.40391846054,2020-02-03
9419020,1222.59972235177,2020-02-04
9425575,1293.2624907861,2020-02-05
9432218,1263.66413023056,2020-02-06
9438584,1258.714483994,2020-02-07
9444657,1264.05014391242,2020-02-08
9451568,1271.42167964986,2020-02-09
9458159,1281.66384435612,2020-02-10
9464830,1282.84807032402,2020-02-11
9471182,1297.00543589698,2020-02-12
9477648,1741.7793837759,2020-02-13
9484081,1788.25908652684,2020-02-14
9490396,1805.99783533565,2020-02-15
9496674,1823.12896598267,2020-02-16
9503593,1889.19167810743,2020-02-17
9509972,1901.23760896805,2020-02-18
9516571,1941.15946238354,2020-02-19
9522973,1945.28674110622,2020-02-20
9528782,1968.64996510373,2020-02-21
9535553,1972.10239651729,2020-02-22
9542485,1966.53163459724,2020-02-23
9548918,1962.4303716179,2020-02-24
9555254,1976.1510506698,2020-02-25
9562137,1991.06374297523,2020-02-26
9568596,1986.98398033714,2020-02-27
9575193,2208.94681560614,2020-02-28
9581783,2257.4842222047,2020-02-29
9587397,2262.71124804718,2020-03-01
9594565,2271.33473664404,2020-03-02
9600654,2306.53565902552,2020-03-03
9607706,2307.27815630995,2020-03-04
9614134,2360.09120073982,2020-03-05
9620798,2366.64806382069,2020-03-06
9626492,2370.79611823209,2020-03-07
9633708,2393.9628297732,2020-03-08
9640215,2392.30745996582,2020-03-09
9646530,2408.23961048353,2020-03-10
9653262,2374.53593700798,2020-03-11
9659640,2343.77195499581,2020-03-12
9666037,2335.45499720607,2020-03-13
9672428,2308.96132675266,2020-03-14
9679019,2329.70946374732,2020-03-15
9684931,2381.31673507834,2020-03-16
9691476,2413.915964052,2020-03-17
9698689,2364.37540570122,2020-03-18
9704848,2341.3577029528,2020-03-19
9711470,2457.04089299697,2020-03-20
9717997,2460.8684604054,2020-03-21
9724406,2462.07885907415,2020-03-22
9730410,2421.24370341494,2020-03-23
9736944,2414.67747102398,2020-03-24
9743528,2499.65233978585,2020-03-25
9750025,2508.77389009431,2020-03-26
9756564,2474.467845359,2020-03-27
9762685,2518.29420669692,2020-03-28
9769552,2532.5386222548,2020-03-29
9775995,2470.50998486957,2020-03-30
9782234,2490.26912580631,2020-03-31
9789114,2488.97094795711,2020-04-01
9795507,2538.10563976513,2020-04-02
9802073,2505.70442501746,2020-04-03
9808540,2521.44849262126,2020-04-04
9814772,2519.44826197667,2020-04-05
9821206,2456.01960996301,2020-04-06
9827554,2564.91861395295,2020-04-07
9834613,2553.79841651025,2020-04-08
9840991,2578.57262456974,2020-04-09
9847550,2610.70293322025,2020-04-10
9853720,2612.76560831241,2020-04-11
9860448,2619.29780789656,2020-04-12
9867032,2603.8985932088,2020-04-13
9873324,2605.13112792748,2020-04-14
9880099,2631.31567977454,2020-04-15
9886462,2641.73160348004,2020-04-16
9893017,2650.35941890539,2020-04-17
9899206,2605.11597936072,2020-04-18
9904888,2575.20988983619,2020-04-19
9911567,2575.19205915583,2020-04-20
9918056,2574.29241607541,2020-04-21
9924627,2528.90069054344,2020-04-22
9931663,2480.72823864,2020-04-23
9937425,2479.12641108365,2020-04-24
9944536,2479.74309335126,2020-04-25
9949987,2478.04933173767,2020-04-26
9957477,2459.57445480899,2020-04-27
9963982,2479.11869829518,2020-04-28
9970035,2450.02583333596,2020-04-29
9976770,2445.12920577682,2020-04-30
9982038,2444.59793984438,2020-05-01
9989153,2446.46125304602,2020-05-02
9996137,2410.06467822391,2020-05-03
10002168,2407.55694635885,2020-05-04
10009258,2427.79528814373,2020-05-05
10015409,2446.39956202101,2020-05-06
10022202,2587.18600226849,2020-05-07
10028537,2605.15164571278,2020-05-08
10035043,2570.61347315305,2020-05-09
10041503,2600.37901078134,2020-05-10
10047754,2554.36617004036,2020-05-11
10054317,3564.8055528282,2020-05-12
10060878,3554.85350555255,2020-05-13
10066623,3563.13070784237,2020-05-14
10073513,3566.18501761667,2020-05-15
10079028,3567.08083350128,2020-05-16
10086530,3571.9396286274,2020-05-17
10092936,3558.69520182529,2020-05-18
10099251,3562.67939293875,2020-05-19
10105620,3571.48280859841,2020-05-20
10112225,5088.97006858854,2020-05-21
10118680,5145.63855838847,2020-05-22
10124992,5113.39393695609,2020-05-23
10131543,5115.48466950844,2020-05-24
10137893,5126.2342118115,2020-05-25
10144301,5110.64867791503,2020-05-26
10150581,5109.16051155227,2020-05-27
10157244,5116.72363124937,2020-05-28
10163755,5114.49513456075,2020-05-29
10170170,5126.10559896933,2020-05-30
10176599,5124.32017788662,2020-05-31
10183067,5194.61129582678,2020-06-01
10189341,5194.56477240685,2020-06-02
10195874,5200.7953498133,2020-06-03
10202215,5186.75258026283,2020-06-04
10208730,5254.62137983026,2020-06-05
10214719,5245.90552794081,2020-06-06
10221557,5249.80006446652,2020-06-07
10227860,5246.86978241981,2020-06-08
10234513,5296.58145693694,2020-06-09
10240740,5303.77103583668,2020-06-10
10247409,5293.43530034018,2020-06-11
10253965,5296.76582812426,2020-06-12
10260469,5313.097565531,2020-06-13
10266670,5355.40905057397,2020-06-14
10273333,5446.54798350751,2020-06-15
10279275,5510.10787257725,2020-06-16
10286160,5520.10066895893,2020-06-17
10292546,7311.16802189762,2020-06-18
10299258,6671.95143108804,2020-06-19
10305699,6788.10207605323,2020-06-20
10312199,6940.55311768472,2020-06-21
10318654,7446.53710979166,2020-06-22
10325129,8497.01326288404,2020-06-23
10331594,8865.81823546666,2020-06-24
10338034,9853.97617730808,2020-06-25
10344496,10479.7408958395,2020-06-26
10350813,11009.9585185029,2020-06-27
10357397,11068.405057276,2020-06-28
10363679,11310.2481916993,2020-06-29
10370184,11608.9427976405,2020-06-30
10376643,11696.715299598,2020-07-01
10383055,11842.1079158263,2020-07-02
10389567,12018.868579962,2020-07-03
10396015,12150.5372200914,2020-07-04
10402452,12739.8525362084,2020-07-05
10408975,14171.5596951526,2020-07-06
10415239,14214.5818829816,2020-07-07
10421782,14368.9812724679,2020-07-08
10428371,14597.7981267224,2020-07-09
10434809,14601.2491688942,2020-07-10
10441336,14716.38387769,2020-07-11
10447832,15009.6590511681,2020-07-12
10454290,15213.1751291193,2020-07-13
10460652,15231.0696912124,2020-07-14
10467195,15256.0294922458,2020-07-15
10473516,15347.5588720612,2020-07-16
10479972,15426.2654170089,2020-07-17
10486588,15480.3426477282,2020-07-18
10492990,15907.3215778681,2020-07-19
10499477,15946.2738947153,2020-07-20
10505769,15930.906264573,2020-07-21
10512272,17649.4539861349,2020-07-22
10518793,18521.0985220771,2020-07-23
10525340,18724.5809511717,2020-07-24
10531656,18628.2865299096,2020-07-25
10538162,18785.699140609,2020-07-26
10544625,19395.4440327286,2020-07-27
10551105,19891.0751465095,2020-07-28
10557495,20061.9502800771,2020-07-29
10563849,20132.903189177,2020-07-30
10570479,20181.3014141012,2020-07-31
10576947,20362.5593384396,2020-08-01
10583440,20407.346426436,2020-08-02
10589838,20351.4759424913,2020-08-03
10596332,20358.1765469386,2020-08-04
10602778,20924.446930019,2020-08-05
10609262,21531.9022418279,2020-08-06
10615793,21574.9733533933,2020-08-07
10622185,21505.7413615067,2020-08-08
10628770,21762.5107901686,2020-08-09
10635266,24655.4485085261,2020-08-10
10641600,25527.3916152821,2020-08-11
10648232,25950.0859762442,2020-08-12
10654604,26692.8408606348,2020-08-13
10661245,30231.0566817932,2020-08-14
10667677,34720.0219054575,2020-08-15
10674208,40329.5127818449,2020-08-16
10680610,43802.9794679984,2020-08-17
10687160,43938.8071376549,2020-08-18
10693629,45134.1890378366,2020-08-19
10700162,45687.2069510829,2020-08-20
10706705,45550.7671092388,2020-08-21
10713067,45907.2398546924,2020-08-22
10719637,46016.6627471475,2020-08-23
10726267,45986.8730099828,2020-08-24
10732635,46360.5256458995,2020-08-25
10739258,47924.3811589147,2020-08-26
10745717,49430.7618288011,2020-08-27
10752284,51158.9569002769,2020-08-28
10758772,51483.3041113152,2020-08-29
10765298,52125.0878798628,2020-08-30
10771891,55471.8701346542,2020-08-31
10778452,58222.9600264497,2020-09-01
10784930,61083.0382502009,2020-09-02
10791399,64599.0671356366,2020-09-03
10798011,65810.3807338337,2020-09-04
10804352,68358.5331993962,2020-09-05
10810840,69773.4665223148,2020-09-06
10817621,71953.8428961745,2020-09-07
10824161,73762.5269145321,2020-09-08
10830620,77367.6887925132,2020-09-09
10837156,78435.6505747915,2020-09-10
10843712,79632.949887757,2020-09-11
10850203,82956.1396700154,2020-09-12
10856586,85708.3144657331,2020-09-13
10863233,86735.8944036732,2020-09-14
10869733,89315.1610285605,2020-09-15
10876213,89132.0927089637,2020-09-16
10882810,96058.5144023719,2020-09-17
10889232,103421.70155096,2020-09-18
10895717,106203.528398718,2020-09-19
10902379,108191.845674226,2020-09-20
10908952,107488.043285022,2020-09-21
10915389,108311.615454487,2020-09-22
10921904,107936.114204852,2020-09-23
10928402,111230.955256013,2020-09-24
10934874,115647.581193344,2020-09-25
10941299,116942.344235167,2020-09-26
10942795,117036.1860124,2020-09-27
